     phi        K
    0.80666256298288174786     0.00002221641071932334
    0.81106346034267229328     0.00002273034685673175
    0.81536418104826580144     0.00002330088851921515
    0.81956700539870708244     0.00002377575171148387
    0.82367416178709773611     0.00002419590185355063
    0.82768782788211947565     0.00002490866644771478
    0.83161013178266307566     0.00002546904857166801
    0.83544315314617445534     0.00002612970972948716
    0.83918892429131664024     0.00002674148022729996
    0.84284943127553180187     0.00002734488350644599
    0.84642661494807547307     0.00002799406613949561
    0.84992237197908071522     0.00002868699653848524
    0.85333855586519691272     0.00002929882082440577
    0.85667697791233909932     0.00003004859116286741
    0.85993940819606606851     0.00003065550463645538
    0.86312757650009741539     0.00003116991146771950
    0.86624317323346833319     0.00003214983352331253
    0.86928785032680688794     0.00003257175376218331
    0.87226322210820872449     0.00003348547061522152
    0.87517086615917627501     0.00003445144731140435
    0.87801232415107244300     0.00003500655061842064
    0.88078910266253584993     0.00003601632657240142
    0.88350267397828807781     0.00003692884506414921
    0.88615447686975912234     0.00003751993411919173
    0.88874591735794294944     0.00003827557661537355
    0.89127836945888805342     0.00003956362128494108
    0.89375317591221936642     0.00004047134349563521
    0.89617164889307643350     0.00004147902539766075
    0.89853507070784577326     0.00004239606097362219
    0.90084469447405746134     0.00004338350331007764
    0.90310174478480353955     0.00004436374804641535
    0.90530741835803452133     0.00004513563803054346
    0.90746288467107438791     0.00004601478152764486
    0.90956928658069347016     0.00004757963129738278
    0.91162774092906551093     0.00004843426618008907
    0.91363933913593309288     0.00004991850354558069
    0.91560514777729196112     0.00005104264788796450
    0.91752620915090443710     0.00005180328381340287
    0.91940354182893913038     0.00005320484368986102
    0.92123814119803126843     0.00005459492769884840
    0.92303097998705008198     0.00005585090991316516
    0.92478300878285268904     0.00005663009727339572
    0.92649515653429725948     0.00005821466706286767
    0.92816833104478480010     0.00005929809696738574
    0.92980341945358779832     0.00006134645664210173
    0.93140128870622329593     0.00006228168237496950
    0.93296278601411974929     0.00006418930037749053
    0.93448873930381837205     0.00006568809880067612
    0.93597995765595187745     0.00006686045558165753
    0.93743723173422899286     0.00006825661584984153
    0.93886133420465556210     0.00006992040813306256
    0.94025302014521161542     0.00007178906983138767
    0.94161302744620378746     0.00007376898835250901
    0.94294207720150491348     0.00007464509323497841
    0.94424087409088752754     0.00007638140475272838
    0.94551010675365376734     0.00007847310208375393
    0.94675044815376174778     0.00008099626319184384
    0.94796255593663980576     0.00008276308584355546
    0.94914707277787846440     0.00008463849746819191
    0.95030462672398585688     0.00008574016900247464
    0.95143583152538624415     0.00008816823247193967
    0.95254128696183870684     0.00009077547151248620
    0.95362157916044787420     0.00009248713730712194
    0.95467728090643710903     0.00009426856346277741
    0.95570895194684568619     0.00009657002883524611
    0.95671713928731527687     0.00009868396314064825
    0.95770237748211850537     0.00010164215915364607
    0.95866518891758756293     0.00010411560269344432
    0.95960608408908987244     0.00010640902844333215
    0.96052556187169946256     0.00010829026316461657
    0.96142410978470749239     0.00011071273237081388
    0.96230220425011103735     0.00011361140557210928
    0.96316031084521880334     0.00011688868219267569
    0.96399888454950566352     0.00011863946718335102
    0.96481836998584968867     0.00012230742461716220
    0.96561920165627612711     0.00012524459404533901
    0.96640180417233723098     0.00012826095707903792
    0.96716659248024572371     0.00013010368330393433
    0.96791397208088569837     0.00013415550670301394
    0.96864433924481418980     0.00013584211371505599
    0.96935808122236899464     0.00013899873211757185
    0.97005557644899420566     0.00014369151440187826
    0.97073719474589137413     0.00014682680656060175
    0.97140329751610376974     0.00015041606826802329
    0.97205423793613709993     0.00015388115884165250
    0.97269036114321838493     0.00015686507960248675
    0.97331200441829190950     0.00016137988815041019
    0.97391949736485061706     0.00016506936683520468
    0.97451316208369587191     0.00016884288520418181
    0.97509331334371984745     0.00017277381641231217
    0.97566025874879958035     0.00017670139553295640
    0.97621429890089339576     0.00018054649220230147
    0.97675572755942341452     0.00018517814397524249
    0.97728483179703129480     0.00018927385184821846
    0.97780189215178703321     0.00019400389659973702
    0.97830718277593498033     0.00019798561691120045
    0.97880097158125234369     0.00020289565018813941
    0.97928352038109978128     0.00020670118331609177
    0.97975508502923824850     0.00021191496068248883
    0.98021591555548615027     0.00021782546811894993
    0.98066625629828818589     0.00022263702278379758
    0.98110634603426727374     0.00022746490190618293
    0.98153641810482661345     0.00023087615226727773
    0.98195670053987071935     0.00023845277466101762
    0.98236741617870981802     0.00024357556100731647
    0.98276878278821189205     0.00024977422190060311
    0.98316101317826631867     0.00025613461984894586
    0.98354431531461750104     0.00026132601308105966
    0.98391889242913166402     0.00026781409748268599
    0.98428494312755321349     0.00027369458562120436
    0.98464266149480750290     0.00027841749347431587
    0.98499223719790807152     0.00028351986009054580
    0.98533385558651964686     0.00029281025237891357
    0.98566769779123386552     0.00029887666416539055
    0.98599394081960656244     0.00030677512494486599
    0.98631275765000969713     0.00031257530606470531
    0.98662431732334687773     0.00032093844347013333
    0.98692878503268066659     0.00033083428440114522
    0.98722632221082085024     0.00033486524678507350
    0.98751708661591763860     0.00034404270169364728
