 phi_min  K11_min
    0.29921863169811968586     0.00034087927484138699
    0.29394971695873162165     0.00029282105952381325
    0.28868080221934355745     0.00024875883476841750
    0.28341188747995549324     0.00020767127027656991
    0.27814297274056742904     0.00017105844971505846
    0.27287405800117936483     0.00013921373055053259
    0.26760514326179141165     0.00011001144125661735
    0.26233622852240334744     0.00008533769613970763
    0.25706731378301528324     0.00006413844774783272
    0.25179839904362721903     0.00004630162975279347
    0.24652948430423915482     0.00003185383916171755
    0.24126056956485109062     0.00002039069984360078
    0.23599165482546302641     0.00001187625971370191
    0.23072274008607496221     0.00000585735566472126
    0.22545382534668689800     0.00000219459824897586
    0.22018491060729883380     0.00000042176121869287
    0.21491599586791076959     0.00000000031900232930
