     phi        K
    0.53174415621964521428     0.00248349625636575195
    0.51714521519830192187     0.00217819218572896890
    0.50209111898396896478     0.00187103718098970942
    0.48656767707821146907     0.00159335923700833736
    0.47056025656152833392     0.00135301724169164823
    0.45405376829987043052     0.00111769421161162083
    0.43703265272111191386     0.00092073570803084738
    0.41948086514807381153     0.00072857506041948406
    0.40138186067427261694     0.00057249284520157775
    0.38271857856813085164     0.00043147968825166179
    0.36347342619095746041     0.00031577587559203948
    0.34362826241353661150     0.00021380696546797573
    0.33523899450039973402     0.00018193705501502586
    0.33465497431727142530     0.00017870410720869135
    0.33407069770376629503     0.00017647689515627464
    0.33348616465988434321     0.00017424715897497897
    0.33290137518562568086     0.00017205762399990259
    0.33231632928099030799     0.00016985572757385227
    0.33173102694597800255     0.00016759309281484748
    0.33114546818058898658     0.00016541594699446820
    0.33055965298482314907     0.00016397646526512903
    0.32997358135868060103     0.00016177874478950569
    0.32938725330216123144     0.00015969747262633703
    0.32880066881526504030     0.00015760222587043332
    0.32821382789799202762     0.00015548137657273251
    0.32762673055034241543     0.00015334463380469512
    0.32703937677231587067     0.00015062430280235188
    0.32645176656391250436     0.00014860333593162388
    0.32586389992513242753     0.00014620308837674543
    0.32527577685597552914     0.00014422780384297382
    0.32468739735644192024     0.00014219987400911202
    0.32409876142653137876     0.00014024538568475369
    0.32350986906624412676     0.00013830823472695580
    0.32316438051568285861     0.00013636665083102819
    0.32292072027558016423     0.00013638109987345698
    0.32233131505453938015     0.00013446244268163805
    0.32174165340312177452     0.00013257926196461837
    0.32115173532132734735     0.00013071506464133772
    0.32056156080915643170     0.00012886750684083193
    0.31997112986660847245     0.00012703089385648645
    0.31938044249368369165     0.00012521008330356831
    0.31878949869038220033     0.00012340108778592998
    0.31819829845670388746     0.00012206477512493580
    0.31760684179264875304     0.00012030389010442107
    0.31701512869821690810     0.00011806613568202455
    0.31642315917340824161     0.00011632863935441039
    0.31583093321822275357     0.00011459586742433669
    0.31523845083266066602     0.00011287467196887759
    0.31464571201672153489     0.00011117953693038034
    0.31405271677040580425     0.00010950745550545721
    0.31345946509371325206     0.00010785156368421978
    0.31286595698664376730     0.00010621894588393234
    0.31227219244919757202     0.00010453334733865804
    0.31167817148137466621     0.00010291987887696713
    0.31108389408317504987     0.00010130684209033612
    0.31048936025459850097     0.00009971232978461618
    0.30989456999564524153     0.00009813077460217522
    0.30929952330631516055     0.00009652070642312813
    0.30870422018660825803     0.00009495734880835676
    0.30810866063652453395     0.00009344069980150285
    0.30751284465606421037     0.00009193036768621793
    0.30691677224522695422     0.00009045520993277307
    0.30632044340401298754     0.00008895512844218921
    0.30572385813242219932     0.00008709726108563451
    0.30512701643045458955     0.00008563694462456935
    0.30452991829811015823     0.00008419749362111308
    0.30393256373538901638     0.00008264568413615793
    0.30333495274229105299     0.00008122754157617911
    0.30273708531881637906     0.00007982498936475279
    0.30213896146496488360     0.00007844277510102708
    0.30206249055265999015     0.00007810584201564368
    0.30154058118073667760     0.00007719429434634690
    0.30094194446613153904     0.00007582155928362361
    0.30034305132114957892     0.00007446188568888714
    0.29974390174579101931     0.00007311955105710234
    0.29914449574005552712     0.00007178284050089327
    0.29854483330394343543     0.00007047469612260108
    0.29794491443745430015     0.00006917225782470524
    0.29734473914058856536     0.00006788824465132323
